carrefour;Autres;Bus;Camion;Car;Charrette;Moto Trois Roues;Moto/Jakarta;Scooter;Taxi;Velo;Voiture particulière
2 voies garage;9;21;157;49;32;50;1339;151;307;72;682
Angle Serigne Fallou;23;50;38;15;32;127;5236;573;1142;326;1458
Grand Thies;34;13;20;8;54;115;3205;471;432;246;598
ISEP;9;94;278;30;4;44;449;123;126;10;904
Mambara;47;54;73;15;80;116;3448;377;646;191;1331
Mbour 1;25;43;95;70;7;82;3002;337;794;129;1252
Nietti kadd;14;6;5;7;14;44;2167;292;424;136;521
Rond point Sonadis;16;67;171;73;35;291;3773;374;707;181;1502
Uidt;3;94;195;84;0;43;989;91;208;63;1019
ZAC;10;81;154;26;9;63;844;91;177;40;928
